Year,Code,Waste,WstOper,Value
1997,32,0,1,1356100
1997,32,0,2,845480
1997,32,0,3,845480
1997,32,1,1,529600
1997,32,1,2,410620
1997,32,1,3,410620
1997,32,2,1,208000
1997,32,2,2,52711
1997,32,2,3,52711
1997,32,3,1,142000
1997,32,3,2,75000
1997,32,3,3,75000
1997,32,4,1,120500
1997,32,4,2,84682
1997,32,4,3,84682
1997,32,5,1,-1
1997,32,5,2,-1
1997,32,5,3,-1
1997,32,6,1,-1
1997,32,6,2,-1
1997,32,6,3,-1
1997,32,7,1,310000
1997,32,7,2,217287
1997,32,7,3,217287
1997,32,8,1,46000
1997,32,8,2,5180
1997,32,8,3,5180
1997,359,0,1,-1
1997,359,0,2,-1
1997,359,0,3,-1
1997,359,1,1,-1
1997,359,1,2,-1
1997,359,1,3,-1
1997,359,2,1,-1
1997,359,2,2,-1
1997,359,2,3,-1
1997,359,3,1,-1
1997,359,3,2,-1
1997,359,3,3,-1
1997,359,4,1,-1
1997,359,4,2,-1
1997,359,4,3,-1
1997,359,5,1,-1
1997,359,5,2,-1
1997,359,5,3,-1
1997,359,6,1,-1
1997,359,6,2,-1
1997,359,6,3,-1
1997,359,7,1,-1
1997,359,7,2,-1
1997,359,7,3,-1
1997,359,8,1,-1
1997,359,8,2,-1
1997,359,8,3,-1
1997,420,0,1,-1
1997,420,0,2,-1
1997,420,0,3,-1
1997,420,1,1,-1
1997,420,1,2,-1
1997,420,1,3,-1
1997,420,2,1,-1
1997,420,2,2,-1
1997,420,2,3,-1
1997,420,3,1,-1
1997,420,3,2,-1
1997,420,3,3,-1
1997,420,4,1,-1
1997,420,4,2,-1
1997,420,4,3,-1
1997,420,5,1,-1
1997,420,5,2,-1
1997,420,5,3,-1
1997,420,6,1,-1
1997,420,6,2,-1
1997,420,6,3,-1
1997,420,7,1,-1
1997,420,7,2,-1
1997,420,7,3,-1
1997,420,8,1,-1
1997,420,8,2,-1
1997,420,8,3,-1
1997,45,0,1,906792
1997,45,0,2,758927
1997,45,0,3,363425
1997,45,1,1,463021
1997,45,1,2,450814
1997,45,1,3,218886
1997,45,2,1,183430
